male,race_ethnicity,frpl,iep,ell,ever_alternative,ap_ever_take_class,math_ss,read_ss,pct_days_absent,gpa,scale_score_11_eng,scale_score_11_math,scale_score_11_read,scale_score_11_comp,hs_diploma
yes,White,no,no,no,no,no,26.0,39.0,6.4259262,1.7654999,10.0,14.0,19.0,15.0,1
yes,White,yes,no,no,yes,yes,55.0,64.0,6.9757485,3.1355,19.0,20.0,21.0,21.0,1
yes,White,yes,no,no,no,no,48.0,46.0,4.275321,2.29475,17.0,16.0,21.0,18.0,1
yes,White,no,no,no,yes,yes,37.0,33.0,2.3424854,3.095,21.0,22.0,20.0,21.0,1
yes,African-American,no,no,no,no,no,31.0,46.0,14.921201,1.3331649,,,,,0
no,White,yes,yes,no,no,no,12.0,43.0,4.49786,2.756,12.0,15.0,11.0,14.0,1
yes,White,yes,no,no,yes,no,37.0,52.0,19.458553,1.3011,10.0,16.0,18.0,13.0,1
no,White,no,no,no,no,no,43.0,45.0,4.4660897,1.6535001,15.0,15.0,21.0,18.0,1
yes,White,no,no,no,no,no,24.0,17.0,12.908192,2.3347466,13.0,15.0,18.0,17.0,1
yes,White,no,no,no,no,no,68.0,59.0,1.010101,3.303225,23.0,22.0,30.0,24.0,1
yes,White,no,no,no,yes,no,46.0,37.0,3.8083208,1.6675,23.0,24.0,29.0,26.0,1
no,White,no,no,no,no,yes,,,7.7124648,2.8410001,19.0,16.0,17.0,18.0,1
yes,White,yes,no,no,no,no,42.0,46.0,8.7957888,1.4131,20.0,21.0,25.0,21.0,1
no,African-American,no,no,no,no,no,49.0,45.0,18.869627,2.218545,15.0,17.0,16.0,18.0,1
no,White,no,no,no,yes,yes,80.0,80.0,0.0204978,4.0,33.0,27.0,30.0,28.0,1
yes,Hispanic,no,no,yes,no,yes,57.0,55.0,6.513669,3.02195,30.0,21.0,32.0,26.0,1
no,White,yes,no,no,no,no,30.0,30.0,4.9631205,2.7849998,12.0,15.0,19.0,16.0,1
yes,White,no,no,no,no,no,9.0,34.0,2.4371431,3.1960001,19.0,22.0,27.0,22.0,1
yes,White,yes,yes,no,no,no,23.0,33.0,15.713467,0.66670001,,,,,0
yes,Asian/Pacific Islander,yes,no,no,no,no,71.0,70.0,3.8120515,2.7405,,,,,0
yes,Asian/Pacific Islander,yes,yes,no,yes,no,,,12.337702,1.8915501,,,,,0
yes,White,yes,yes,no,yes,no,0.0,3.0,31.121918,0.46669999,,,,,0
no,White,no,no,no,no,no,30.0,57.0,11.345424,2.551765,15.0,18.0,14.0,15.0,1
no,White,yes,no,no,no,no,12.0,39.0,25.739265,3.2,,,,,0
no,White,yes,no,no,yes,no,43.0,41.0,5.4626107,2.4549999,15.0,18.0,13.0,17.0,1
yes,African-American,yes,no,no,no,no,27.0,45.0,16.622347,1.1849999,,,,,0
yes,White,no,no,no,no,yes,79.0,63.0,3.8579881,3.72435,27.0,21.0,28.0,27.0,1
yes,White,no,no,no,yes,no,6.0,27.0,7.4352393,1.531,13.0,17.0,13.0,14.0,0
no,White,yes,no,no,yes,yes,,31.0,11.138802,4.0,27.0,29.0,28.0,29.0,1
no,White,yes,no,no,yes,no,,38.0,31.612904,1.0885,,,,,0
yes,White,yes,no,no,yes,no,52.0,40.0,3.8065765,2.3499999,21.0,15.0,22.0,17.0,1
no,White,no,no,no,no,no,56.0,51.0,1.6864407,3.48,21.0,22.0,23.0,21.0,1
no,White,yes,no,no,no,yes,68.0,65.0,3.7188871,3.9302802,23.0,23.0,23.0,22.0,1
yes,African-American,yes,yes,no,no,no,21.0,29.0,3.1686566,1.25,,,,,1
no,White,yes,no,no,no,yes,39.0,46.0,12.631054,3.382,24.0,22.0,25.0,24.0,1
yes,Hispanic,yes,no,yes,no,yes,68.0,58.0,13.938041,1.7160001,20.0,24.0,21.0,22.0,1
yes,White,no,no,no,no,yes,52.0,51.0,2.3361702,4.0,30.0,28.0,25.0,27.0,1
yes,White,yes,yes,no,no,no,72.0,50.0,30.524229,2.286,,,,,0
no,White,yes,no,no,no,no,26.0,56.0,9.8240337,2.60905,10.0,15.0,14.0,15.0,1
no,White,yes,no,no,no,no,9.0,39.0,1.0887574,1.706,11.0,15.0,15.0,15.0,1
yes,White,no,no,no,no,no,53.0,59.0,3.7032809,3.1750002,28.0,18.0,24.0,24.0,1
no,White,yes,yes,no,no,no,0.0,9.0,8.1114283,2.29,8.0,14.0,14.0,14.0,1
yes,African-American,no,no,no,no,no,,,9.554285,1.7101001,10.0,15.0,14.0,14.0,1
no,White,yes,yes,no,no,yes,18.0,30.0,4.1481481,3.0,26.0,25.0,30.0,26.0,1
no,White,yes,no,no,no,yes,41.0,41.0,0.68497109,3.3036666,15.0,16.0,15.0,16.0,1
no,White,yes,no,no,no,no,68.0,64.0,11.333808,3.7349999,,,,,1
no,White,yes,no,no,no,no,0.0,,57.81818,1.22025,,,,,1
yes,Hispanic,yes,no,yes,yes,no,,,13.948019,2.0,9.0,17.0,12.0,13.0,1
no,White,yes,no,no,yes,yes,69.0,59.0,7.0742354,3.9815001,24.0,21.0,27.0,26.0,1
yes,White,yes,no,no,no,yes,46.0,25.0,8.7237415,3.5409999,16.0,14.0,17.0,16.0,1
no,White,no,no,no,yes,no,23.0,40.0,13.601837,1.551,9.0,15.0,12.0,14.0,1
yes,White,no,no,no,no,no,42.0,41.0,2.327143,1.115,,,,,1
no,White,yes,yes,no,no,no,72.0,75.0,11.606488,3.75895,22.0,26.0,23.0,23.0,1
yes,White,yes,no,no,yes,no,37.0,46.0,6.6084428,2.5805001,14.0,11.0,15.0,14.0,1
no,White,yes,no,no,no,no,0.0,,21.37059,2.5685,,,,,1
no,White,yes,no,no,no,no,0.0,14.0,9.3276596,2.2045,14.0,16.0,11.0,13.0,1
yes,White,yes,no,no,no,yes,53.0,40.0,4.2022634,3.4720001,20.0,22.0,27.0,24.0,1
yes,White,no,no,no,no,no,50.0,53.0,2.2039943,2.906615,21.0,17.0,24.0,23.0,1
no,White,yes,no,no,no,no,65.0,46.0,6.9927011,3.1100001,14.0,19.0,12.0,16.0,1
no,White,,no,no,no,no,,,6.886364,1.7095001,15.0,14.0,16.0,16.0,1
yes,White,yes,no,no,yes,no,29.0,34.0,0.0,3.115,9.0,16.0,15.0,14.0,1
yes,White,yes,no,no,no,no,47.0,48.0,7.4011545,3.3587251,,,,,0
no,White,no,no,no,yes,no,21.0,37.0,2.6005831,2.572,16.0,16.0,14.0,14.0,1
no,White,no,no,no,yes,yes,66.0,69.0,5.2978106,3.1300001,27.0,19.0,28.0,25.0,1
no,White,yes,no,no,no,no,34.0,39.0,3.9837036,2.6820002,20.0,18.0,24.0,19.0,1
no,White,yes,no,no,yes,no,0.0,,19.345659,1.37834,16.0,17.0,20.0,17.0,0
yes,White,no,no,no,no,no,51.0,47.0,1.7670455,3.63325,17.0,25.0,20.0,20.0,1
yes,White,no,no,no,no,yes,62.0,38.0,1.6560694,2.9858499,20.0,23.0,23.0,21.0,1
yes,White,yes,no,no,yes,no,51.0,38.0,15.605096,1.3932,,,,,0
yes,White,no,no,no,no,yes,70.0,56.0,2.9595375,3.8954999,19.0,23.0,22.0,20.0,1
no,White,yes,no,no,no,no,1.0,38.0,17.978495,2.2327499,16.0,16.0,17.0,16.0,1
yes,White,no,no,no,no,no,80.0,66.0,4.3395419,3.49,26.0,26.0,25.0,25.0,1
yes,White,no,no,no,no,no,80.0,66.0,0.71408248,3.95,28.0,29.0,32.0,31.0,1
yes,White,yes,no,no,no,yes,40.0,39.0,7.3343239,1.9630001,23.0,18.0,18.0,20.0,1
yes,White,yes,no,no,no,no,46.0,43.0,1.2985715,3.3666999,29.0,25.0,20.0,25.0,1
yes,African-American,no,no,no,no,no,38.0,44.0,1.4542857,3.4995999,30.0,31.0,34.0,30.0,1
yes,White,no,no,no,no,no,,,4.5874825,3.6950002,34.0,27.0,33.0,29.0,1
yes,African-American,no,no,no,no,no,74.0,63.0,0.494302,3.4444001,23.0,29.0,27.0,27.0,1
yes,White,no,yes,no,yes,no,30.0,36.0,4.2195845,2.2335,11.0,14.0,11.0,12.0,1
yes,White,yes,no,no,no,no,25.0,22.0,5.3418803,2.6636667,14.0,17.0,22.0,17.0,1
no,White,yes,no,no,yes,yes,31.0,66.0,18.60251,1.404,18.0,16.0,19.0,17.0,1
no,African-American,yes,yes,no,no,no,16.0,6.0,7.9785714,1.5762999,12.0,15.0,14.0,13.0,1
yes,African-American,yes,yes,no,yes,no,0.0,,30.904764,0.75779998,,,,,0
no,,no,no,no,no,no,32.0,44.0,5.3842854,2.349375,9.0,18.0,17.0,16.0,1
no,White,yes,no,no,yes,no,8.0,34.0,14.196481,1.8164999,,,,,0
no,White,no,no,no,no,yes,75.0,80.0,2.3512747,3.7420001,32.0,27.0,27.0,27.0,1
no,White,yes,no,no,no,yes,48.0,56.0,3.5261629,3.29075,16.0,20.0,19.0,19.0,1
yes,White,no,no,no,no,no,70.0,59.0,3.49,2.42735,17.0,24.0,18.0,21.0,1
no,White,yes,no,no,yes,no,34.0,57.0,19.4433,1.8273499,,,,,1
yes,White,yes,no,no,no,no,21.0,39.0,10.546191,2.3268499,15.0,15.0,17.0,16.0,1
no,White,no,no,no,no,no,41.0,50.0,2.3260868,3.434,18.0,16.0,23.0,19.0,1
no,White,yes,no,no,no,yes,50.0,74.0,7.6515579,3.8475001,24.0,16.0,24.0,22.0,1
yes,White,yes,no,no,yes,no,26.0,27.0,2.4526167,3.118,18.0,22.0,19.0,20.0,1
yes,White,yes,no,no,no,yes,,,8.3440237,2.98805,20.0,16.0,22.0,20.0,1
yes,White,no,no,no,no,no,42.0,20.0,7.1111112,1.9843334,,,,,0
no,White,yes,no,no,yes,no,25.0,44.0,25.605196,2.5183501,14.0,16.0,19.0,16.0,1
no,White,yes,no,no,no,no,37.0,44.0,7.1445088,2.7365,17.0,15.0,15.0,16.0,1
yes,White,no,no,no,no,yes,,,3.4273505,2.7785001,14.0,14.0,13.0,15.0,1
no,White,yes,yes,no,no,no,40.0,54.0,4.5156951,3.7251501,13.0,15.0,7.0,12.0,1
no,White,yes,no,no,yes,yes,23.0,31.0,3.1764705,2.5244999,17.0,16.0,20.0,18.0,1
yes,White,yes,no,no,no,no,52.0,38.0,10.849785,1.97095,15.0,19.0,24.0,20.0,1
yes,White,yes,yes,no,no,no,,,10.968661,0.96429998,,,,,0
no,White,no,no,no,no,no,14.0,38.0,5.1133142,2.845,16.0,19.0,18.0,20.0,1
no,White,no,no,no,no,no,51.0,64.0,3.0642858,3.7546501,26.0,25.0,19.0,24.0,1
no,White,yes,no,no,yes,no,44.0,62.0,5.5042496,3.1943333,18.0,17.0,22.0,20.0,1
no,White,yes,yes,no,no,no,,,12.863636,2.6789999,,,,,0
yes,White,no,no,no,no,yes,,,3.0451977,3.87185,32.0,32.0,33.0,31.0,1
no,White,no,no,no,no,yes,55.0,59.0,2.0462427,3.7125549,17.0,19.0,21.0,19.0,1
no,White,no,no,no,no,yes,68.0,66.0,2.4100718,3.61956,33.0,28.0,32.0,32.0,1
yes,Asian/Pacific Islander,no,yes,no,yes,no,18.0,33.0,1.3888092,1.926,13.0,16.0,14.0,14.0,1
no,White,yes,no,no,no,yes,45.0,77.0,1.7366863,3.7280002,23.0,23.0,23.0,23.0,1
yes,White,yes,no,no,yes,no,53.0,73.0,5.5260806,3.2449999,19.0,29.0,19.0,20.0,1
yes,,yes,yes,no,yes,no,0.0,,0.85714287,2.53245,19.0,24.0,19.0,22.0,1
yes,White,no,no,no,yes,no,26.0,34.0,32.805153,2.533,,,,,0
yes,White,no,no,no,no,yes,52.0,38.0,6.0187588,3.05,21.0,20.0,27.0,22.0,1
no,White,yes,no,no,no,no,32.0,35.0,6.3181171,2.852,13.0,14.0,22.0,15.0,1
yes,White,yes,yes,no,no,no,,0.0,6.5265784,3.4025002,14.0,12.0,16.0,17.0,1
yes,White,no,no,no,no,no,42.0,61.0,5.8673325,2.6285,21.0,14.0,21.0,19.0,1
no,White,no,no,no,no,no,56.0,74.0,3.1275363,3.773,23.0,22.0,23.0,23.0,1
yes,White,yes,no,no,no,no,8.0,34.0,11.098334,2.8842001,16.0,15.0,19.0,17.0,1
no,White,yes,no,no,yes,no,43.0,55.0,18.25633,3.4065001,,,,,0
no,African-American,yes,no,no,yes,no,28.0,38.0,6.0508475,1.9530001,14.0,14.0,17.0,15.0,1
no,Multiple/Native American,no,no,no,no,yes,48.0,54.0,1.4661871,3.4848499,22.0,22.0,23.0,21.0,1
yes,White,no,no,no,no,no,29.0,15.0,5.2963672,1.8,9.0,16.0,12.0,14.0,1
yes,Hispanic,yes,no,no,no,yes,54.0,74.0,16.947294,3.6362667,33.0,27.0,29.0,27.0,1
no,White,no,no,no,no,yes,80.0,71.0,0.33731344,4.0,32.0,27.0,30.0,30.0,1
yes,White,yes,no,no,yes,no,39.0,51.0,4.0976677,2.2,14.0,14.0,12.0,16.0,1
no,White,no,no,no,no,no,53.0,54.0,3.2135644,3.6670001,21.0,25.0,23.0,23.0,1
yes,White,yes,no,no,no,no,27.0,42.0,5.8515081,1.90325,,,,,0
no,White,no,no,no,no,yes,38.0,70.0,5.3248587,3.2655001,24.0,19.0,20.0,20.0,1
no,White,yes,no,no,yes,no,5.0,20.0,27.867817,1.4829,,,,,0
no,White,yes,no,no,no,no,47.0,42.0,26.5,1.9454999,,,,,1
yes,White,yes,no,no,yes,no,22.0,46.0,8.3183279,2.5868549,15.0,16.0,21.0,18.0,1
yes,White,yes,no,no,no,no,54.0,49.0,3.9020174,2.3144999,21.0,20.0,22.0,22.0,1
yes,White,yes,no,no,yes,yes,31.0,28.0,0.1485884,3.362,21.0,22.0,24.0,23.0,1
yes,White,yes,yes,no,yes,no,32.0,47.0,3.1440797,2.19327,9.0,15.0,17.0,15.0,1
no,,no,no,no,yes,no,26.0,43.0,6.1734691,2.764925,,,,,0
no,White,no,no,no,no,yes,80.0,79.0,10.820225,3.799,25.0,26.0,28.0,29.0,1
no,White,no,no,no,no,yes,70.0,78.0,1.8481376,3.9349999,25.0,18.0,25.0,22.0,1
yes,African-American,yes,no,no,yes,no,,,0.0,,,,,,1
no,White,yes,no,no,no,yes,70.0,52.0,2.769341,2.9204998,29.0,19.0,27.0,24.0,1
yes,White,no,no,no,no,no,,,27.346937,1.222,14.0,14.0,21.0,14.0,1
yes,White,yes,no,no,no,no,,,7.5307345,2.0743351,13.0,16.0,15.0,14.0,1
yes,White,no,no,no,no,no,37.0,46.0,0.31422922,3.5904999,25.0,21.0,20.0,20.0,1
yes,White,yes,no,no,no,no,43.0,72.0,15.357747,2.214,,,,,1
yes,White,yes,no,no,yes,no,48.0,64.0,24.939472,2.3280001,15.0,20.0,18.0,17.0,1
yes,African-American,yes,yes,no,no,no,28.0,43.0,12.485021,2.3777001,16.0,15.0,19.0,17.0,1
yes,White,no,no,no,no,no,,,10.743554,2.8467,13.0,13.0,14.0,13.0,1
no,White,no,no,no,yes,no,,,,,,,,,0
yes,African-American,no,no,no,no,no,41.0,37.0,28.756907,1.9534,19.0,17.0,20.0,20.0,1
yes,White,no,no,no,no,no,,,0.0,1.9,,,,,0
no,White,no,no,no,no,yes,43.0,45.0,2.398293,3.0510001,22.0,23.0,19.0,20.0,1
no,White,yes,no,no,yes,no,27.0,44.0,8.5578041,2.1140001,,,,,0
yes,White,no,no,no,no,no,48.0,49.0,1.0200861,2.8074999,12.0,16.0,13.0,14.0,1
yes,White,yes,no,no,yes,no,29.0,52.0,3.1707318,2.5090001,,,,,0
no,White,no,no,no,no,no,56.0,55.0,2.1815562,2.9260001,24.0,18.0,23.0,23.0,1
yes,Hispanic,yes,no,no,yes,no,,,24.19101,1.324,,,,,0
yes,White,no,no,no,no,yes,79.0,63.0,1.947592,3.5409999,19.0,23.0,22.0,21.0,1
no,White,yes,no,no,no,no,49.0,36.0,16.406073,2.6282501,10.0,21.0,19.0,18.0,0
yes,White,no,no,no,no,no,38.0,26.0,6.6455331,1.68153,10.0,17.0,19.0,17.0,1
yes,White,no,no,no,yes,no,23.0,41.0,12.043165,1.5315001,8.0,16.0,15.0,14.0,0
yes,African-American,yes,no,no,yes,no,,,0.0,3.4710999,,,,,0
no,White,yes,no,no,no,no,27.0,41.0,9.7171421,1.1109999,,,,,1
yes,White,yes,yes,no,no,no,,28.0,45.647621,1.3329999,8.0,16.0,14.0,13.0,1
yes,White,yes,no,no,no,yes,64.0,48.0,13.606277,2.546,30.0,24.0,29.0,28.0,1
yes,White,no,yes,no,no,no,19.0,31.0,6.0171428,2.3899999,9.0,12.0,12.0,12.0,1
yes,White,yes,no,no,no,no,27.0,41.0,44.457577,0.69999999,,,,,0
yes,White,no,no,no,no,yes,30.0,37.0,4.2076812,1.71,17.0,17.0,21.0,18.0,1
no,White,no,no,no,no,yes,,,5.9348445,2.97,33.0,24.0,27.0,27.0,1
yes,White,no,no,no,no,yes,49.0,64.0,4.6841321,3.30215,22.0,16.0,19.0,18.0,1
yes,White,no,no,no,no,no,49.0,49.0,3.1985714,1.51685,22.0,17.0,25.0,22.0,1
yes,White,yes,yes,no,no,no,,,10.896071,3.836,16.0,18.0,15.0,16.0,1
no,White,yes,no,no,no,no,19.0,35.0,2.3200569,1.9754999,10.0,14.0,14.0,14.0,1
yes,White,yes,yes,no,no,no,34.0,28.0,2.8693759,3.7350001,14.0,17.0,21.0,18.0,1
yes,White,yes,no,no,no,no,21.0,44.0,13.373832,1.7842,13.0,15.0,18.0,16.0,1
yes,White,yes,no,no,no,no,22.0,44.0,8.637784,2.2149501,14.0,15.0,16.0,15.0,1
yes,White,no,no,no,no,yes,52.0,34.0,3.6319544,3.0450001,20.0,23.0,23.0,21.0,1
yes,White,yes,no,no,no,no,59.0,39.0,3.4896755,3.78195,27.0,28.0,22.0,24.0,1
yes,White,no,no,no,no,no,42.0,46.0,5.5270653,2.2892499,15.0,21.0,17.0,18.0,1
no,White,yes,no,no,no,yes,31.0,51.0,7.2496214,2.7030001,15.0,17.0,18.0,18.0,1
yes,White,yes,no,no,yes,no,19.0,23.0,8.8167152,2.3333299,10.0,14.0,4.0,13.0,1
no,White,no,no,no,no,no,37.0,59.0,8.6023159,3.3685,17.0,16.0,20.0,19.0,1
no,White,yes,no,no,yes,no,80.0,75.0,4.0951686,3.7491951,17.0,26.0,20.0,19.0,1
yes,White,yes,yes,no,no,no,8.0,19.0,13.748858,1.702,,,,,1
no,White,yes,no,no,yes,no,25.0,33.0,7.217514,1.692,10.0,15.0,15.0,15.0,1
yes,White,yes,yes,no,no,no,60.0,58.0,0.92900294,3.6654999,13.0,17.0,20.0,15.0,1
yes,Multiple/Native American,no,no,no,no,no,57.0,52.0,0.23428573,3.085,25.0,26.0,28.0,26.0,1
no,White,yes,no,no,no,no,42.0,55.0,2.7417028,2.77125,14.0,14.0,19.0,17.0,1
no,White,yes,no,no,no,no,19.0,28.0,3.872781,1.99739,14.0,15.0,17.0,17.0,1
no,African-American,yes,no,no,no,no,33.0,58.0,7.4907274,2.4081001,9.0,16.0,18.0,14.0,1
no,White,no,no,no,yes,yes,,,18.481535,2.1752,29.0,25.0,25.0,25.0,1
yes,African-American,yes,no,no,no,no,41.0,42.0,11.008438,2.9229999,14.0,15.0,16.0,14.0,1
no,White,yes,no,no,no,yes,80.0,80.0,2.6436782,3.7150002,27.0,26.0,31.0,28.0,1
no,Hispanic,yes,no,yes,no,no,,,2.4682081,1.6125,,,,,0
yes,White,yes,no,no,yes,yes,61.0,67.0,20.139132,2.24,23.0,20.0,21.0,22.0,1
no,African-American,yes,no,no,no,yes,58.0,66.0,1.951773,3.8158951,24.0,21.0,17.0,23.0,1
yes,White,no,no,no,no,yes,80.0,61.0,2.9887006,4.0,27.0,27.0,32.0,29.0,1
no,Hispanic,yes,no,no,yes,no,14.0,30.0,12.422303,2.05,14.0,14.0,19.0,15.0,1
no,White,no,no,no,no,yes,65.0,80.0,10.564175,3.1624999,24.0,20.0,23.0,22.0,1
yes,White,no,no,no,no,no,51.0,56.0,2.172857,1.7142,,,,,0
yes,White,no,yes,no,no,no,0.0,,7.1428571,2.3824501,9.0,13.0,,,1
no,White,yes,no,no,no,no,76.0,53.0,3.7063828,3.2514999,26.0,25.0,25.0,26.0,1
yes,White,,no,no,no,no,,,6.9579349,3.1868067,20.0,17.0,16.0,18.0,1
yes,African-American,yes,yes,no,yes,no,,,4.2686806,2.9388666,8.0,13.0,14.0,13.0,1
yes,White,yes,no,no,no,no,50.0,39.0,4.323276,2.21,15.0,17.0,14.0,15.0,1
yes,White,no,no,no,yes,no,,,,,,,,,0
no,Asian/Pacific Islander,yes,no,no,no,no,74.0,66.0,8.2969866,3.20151,,,,,0
yes,African-American,no,no,no,no,yes,26.0,37.0,6.765306,1.931,18.0,16.0,14.0,17.0,1
no,White,no,no,no,yes,yes,64.0,69.0,4.4530554,3.7149999,30.0,24.0,27.0,27.0,1
yes,White,yes,no,no,yes,no,6.0,19.0,19.818182,1.5808001,10.0,15.0,15.0,14.0,1
yes,White,yes,yes,no,no,no,,14.0,1.8345642,3.0366666,11.0,14.0,17.0,16.0,1
yes,African-American,yes,no,no,no,no,46.0,37.0,4.8444128,3.0380001,15.0,17.0,12.0,15.0,1
yes,White,no,no,no,no,yes,55.0,50.0,7.6934099,3.6009998,18.0,18.0,22.0,18.0,1
yes,White,no,no,no,no,no,80.0,61.0,0.03597122,3.4503999,21.0,23.0,20.0,22.0,1
no,Multiple/Native American,no,no,no,no,yes,55.0,60.0,3.5584416,3.823,21.0,26.0,19.0,23.0,1
yes,White,no,no,no,no,no,25.0,49.0,10.292576,2.8840001,19.0,17.0,17.0,18.0,1
yes,African-American,yes,no,no,no,yes,25.0,43.0,14.865819,2.3032999,17.0,16.0,13.0,15.0,0
yes,White,no,yes,no,yes,no,39.0,33.0,7.4199996,1.687325,14.0,17.0,13.0,16.0,1
yes,White,no,yes,no,no,no,8.0,18.0,2.1183262,2.0510001,9.0,14.0,6.0,14.0,1
no,White,yes,no,no,yes,no,65.0,75.0,5.8903317,3.0479999,19.0,20.0,16.0,17.0,1
yes,White,no,no,no,no,no,25.0,40.0,1.3470588,2.19784,16.0,15.0,16.0,15.0,1
yes,African-American,yes,no,no,no,yes,14.0,28.0,1.4657933,2.2544999,15.0,24.0,19.0,19.0,1
yes,White,yes,no,no,no,no,68.0,57.0,6.9579577,2.881,19.0,18.0,16.0,18.0,1
yes,White,yes,no,no,no,no,70.0,34.0,1.11396,3.9844999,27.0,24.0,20.0,23.0,1
yes,White,yes,no,no,no,no,,,28.661922,0.963,,,,,0
yes,White,no,no,no,no,yes,64.0,61.0,12.80463,2.57848,24.0,19.0,24.0,22.0,1
yes,White,yes,no,no,no,no,29.0,36.0,6.0968213,1.5805,12.0,13.0,16.0,12.0,1
no,White,,no,no,yes,no,,,16.023401,2.4349999,,,,,0
yes,African-American,yes,no,no,yes,no,0.0,,13.647728,1.9151499,,,,,0
yes,White,no,no,no,no,no,54.0,45.0,4.4770775,3.7534499,18.0,16.0,14.0,17.0,1
yes,Multiple/Native American,yes,no,no,yes,no,16.0,24.0,17.988558,1.7771499,,,,,0
yes,White,yes,no,no,yes,no,44.0,42.0,14.82676,1.6060125,15.0,15.0,18.0,14.0,0
no,White,yes,no,no,no,no,27.0,35.0,21.0625,1.5693333,10.0,14.0,18.0,13.0,0
yes,White,yes,no,no,no,yes,75.0,56.0,5.679245,3.0569201,23.0,26.0,32.0,27.0,1
yes,White,no,no,no,no,no,80.0,66.0,4.2239885,3.7444999,30.0,25.0,30.0,28.0,1
yes,White,no,yes,no,yes,no,9.0,34.0,6.107296,2.1043,13.0,15.0,15.0,14.0,1
yes,White,yes,yes,no,no,no,59.0,55.0,8.2440119,2.0044999,9.0,15.0,14.0,12.0,1
no,White,no,no,no,no,yes,78.0,80.0,0.95056498,4.0,27.0,29.0,25.0,26.0,1
no,White,yes,no,no,no,no,66.0,59.0,21.97093,2.0301249,,,,,0
no,White,no,no,no,no,no,41.0,45.0,2.2817519,3.6034999,21.0,23.0,17.0,21.0,1
yes,Hispanic,yes,no,no,yes,no,27.0,28.0,3.8146167,2.19327,13.0,14.0,22.0,15.0,1
no,White,no,no,no,no,yes,59.0,75.0,17.255238,2.1459999,23.0,17.0,21.0,20.0,1
no,White,no,no,no,no,no,35.0,56.0,3.486692,2.2067952,13.0,15.0,21.0,14.0,1
yes,African-American,yes,no,no,no,no,39.0,45.0,4.6765952,1.679,15.0,15.0,19.0,17.0,1
no,White,yes,no,no,no,no,30.0,41.0,9.6500702,2.9059999,11.0,16.0,12.0,13.0,1
no,White,yes,no,no,no,yes,38.0,53.0,3.8479259,2.6252499,19.0,14.0,23.0,19.0,1
yes,White,yes,yes,no,yes,no,37.0,33.0,8.951808,1.905,12.0,14.0,12.0,13.0,1
yes,White,no,no,no,no,no,31.0,44.0,9.0388489,1.8895149,10.0,13.0,13.0,13.0,1
no,White,no,no,no,no,no,,,11.060665,2.348,6.0,14.0,9.0,12.0,1
yes,Multiple/Native American,no,no,no,no,no,27.0,45.0,2.4679029,2.9243066,16.0,16.0,17.0,15.0,1
yes,African-American,no,no,no,no,no,56.0,45.0,4.7642856,2.2316999,17.0,18.0,16.0,18.0,1
no,White,yes,no,no,yes,no,43.0,80.0,20.394398,2.471,14.0,16.0,20.0,17.0,1
yes,White,yes,no,no,no,yes,80.0,54.0,5.9571428,2.7260001,27.0,27.0,33.0,29.0,1
no,White,yes,yes,no,no,no,2.0,20.0,4.9319825,2.6364999,12.0,16.0,17.0,16.0,1
no,Hispanic,yes,no,no,no,yes,65.0,58.0,8.3361702,3.3470449,20.0,16.0,22.0,18.0,1
yes,White,no,no,no,no,yes,57.0,49.0,2.3054755,3.3295002,21.0,27.0,19.0,22.0,1
no,White,no,no,no,no,no,47.0,48.0,0.53225809,3.5265,16.0,18.0,18.0,18.0,1
no,White,yes,no,no,no,no,,,9.0199146,2.7688498,12.0,15.0,14.0,13.0,1
no,White,yes,no,no,yes,yes,74.0,73.0,8.7210684,4.0,30.0,24.0,29.0,27.0,1
no,White,yes,no,no,no,no,58.0,63.0,39.938889,0.90630001,,,,,0
no,African-American,no,no,no,no,no,43.0,54.0,0.72714287,3.3471501,19.0,18.0,20.0,19.0,1
no,White,yes,no,no,no,no,25.0,48.0,0.83690983,2.984575,19.0,16.0,22.0,18.0,1
yes,White,yes,yes,no,no,no,19.0,22.0,24.147287,0.898,,,,,0
yes,White,yes,no,no,no,no,34.0,38.0,6.1775146,2.0879998,15.0,16.0,13.0,14.0,1
yes,African-American,no,no,no,yes,no,50.0,43.0,14.448504,1.2946401,,,,,0
no,White,yes,no,no,no,no,19.0,33.0,23.903931,2.5512249,13.0,15.0,15.0,14.0,1
yes,White,yes,no,no,no,no,70.0,64.0,5.6085711,2.9289498,15.0,18.0,15.0,18.0,1
yes,White,yes,no,no,no,no,57.0,41.0,6.2732472,3.6300001,20.0,24.0,27.0,25.0,0
yes,White,no,no,no,no,no,59.0,50.0,10.290322,2.8415,20.0,18.0,22.0,20.0,1
no,African-American,yes,no,no,yes,no,0.0,,18.57443,2.4630001,,,,,0
no,White,no,no,no,yes,no,,,10.816113,2.0391333,,,,,0
no,White,yes,no,no,yes,no,24.0,45.0,16.682043,2.6888251,10.0,16.0,15.0,14.0,1
no,White,yes,no,no,no,yes,61.0,80.0,6.2725987,3.7065001,21.0,25.0,15.0,21.0,1
no,White,no,no,no,yes,no,30.0,61.0,26.0,1.7637501,15.0,16.0,18.0,17.0,1
yes,African-American,no,no,no,no,no,30.0,29.0,6.7945008,2.48,18.0,15.0,19.0,18.0,1
yes,White,no,no,no,no,no,68.0,49.0,6.4200006,3.01455,22.0,25.0,21.0,22.0,0
no,White,yes,no,no,no,no,31.0,68.0,36.650002,2.05,,,,,0
